Accipitridae,Accipiter cooperii,cooper's hawk
Accipitridae,Accipiter striatus,sharp-shinned hawk
Accipitridae,Buteo jamaicensis,red-tailed hawk
Accipitridae,Buteo lineatus,red-shouldered hawk
Accipitridae,Buteo platypterus,broad-winged hawk
Accipitridae,Buteo swainsoni,swainson's hawk
Accipitridae,Circus cyaneus,northern harrier
Accipitridae,Haliaeetus leucocephalus,bald eagle
Accipitridae,Ictinia mississippiensis,mississippi kite
Alaudidae,Eremophila alpestris,horned lark
Alcedinidae,Megaceryle alcyon,belted kingfisher
Anatidae,Aix sponsa,wood duck
Anatidae,Anas clypeata,northern shoveler
Anatidae,Anas cyanoptera,cinnamon teal
Anatidae,Anas discors,blue-winged teal
Anatidae,Anas platyrhynchos,mallard
Anatidae,Anas rubripes,american black duck
Anatidae,Aythya americana,redhead
Anatidae,Branta canadensis,canada goose
Anatidae,Lophodytes cucullatus,hooded merganser
Anhingidae,Anhinga anhinga,anhinga
Apodidae,Chaetura pelagica,chimney swift
Ardeidae,Ardea alba,great egret
Ardeidae,Ardea herodias,great blue heron
Ardeidae,Botaurus lentiginosus,american Bittern
Ardeidae,Bubulcus ibis,cattle egret
Ardeidae,Butorides virescens,green (green-backed) heron
Ardeidae,Egretta caerulea,little blue heron
Ardeidae,Egretta thula,snowy egret
Ardeidae,Ixobrychus exilis,least bittern
Ardeidae,Nycticorax nycticorax,black-crowned night-heron
Bombycillidae,Bombycilla cedrorum,cedar waxwing
Calcariidae,Calcarius lapponicus,lapland Longspur
Caprimulgidae,Antrostomus carolinensis,chuck-will's-widow
Caprimulgidae,Antrostomus vociferus,Eastern whip-poor-will
Caprimulgidae,Chordeiles minor,common nighthawk
Cardinalidae,Cardinalis cardinalis,northern cardinal
Cardinalidae,Passerina caerulea,blue grosbeak
Cardinalidae,Passerina ciris,painted bunting
Cardinalidae,Passerina cyanea,indigo bunting
Cardinalidae,Pheucticus ludovicianus,rose-breasted grosbeak
Cardinalidae,Piranga olivacea,scarlet tanager
Cardinalidae,Piranga rubra,summer tanager
Cardinalidae,Spiza americana,dickcissel
Cathartidae,Cathartes aura,turkey vulture
Cathartidae,Coragyps atratus,black vulture
Certhiidae,Certhia americana,brown creeper
Charadriidae,Charadrius vociferus,killdeer
Columbidae,Columba livia,rock pigeon
Columbidae,Streptopelia decaocto,eurasian collared-dove
Columbidae,Zenaida asiatica,white-winged dove
Columbidae,Zenaida macroura,mourning dove
Corvidae,Corvus brachyrhynchos,american crow
Corvidae,Corvus ossifragus,fish crow
Corvidae,Cyanocitta cristata,blue jay
Cuculidae,Coccyzus americanus,yellow-billed cuckoo
Cuculidae,Coccyzus erythropthalmus,black-billed cuckoo
Emberizidae,Ammodramus henslowii,henslow's sparrow
Emberizidae,Ammodramus savannarum,grasshopper sparrow
Emberizidae,Calamospiza melanocorys,lark bunting
Emberizidae,Chondestes grammacus,lark sparrow
Emberizidae,Junco hyemalis,Darl-eyed Junco
Emberizidae,Melospiza georgiana,swamp sparrow
Emberizidae,Melospiza lincolnii,lincoln's sparrow
Emberizidae,Melospiza melodia,song sparrow
Emberizidae,Passerculus sandwichensis,savannah sparrow
Emberizidae,Peucaea aestivalis,bachman's Sparrow
Emberizidae,Pipilo erythrophthalmus,"rufous-sided towhee
Emberizidae,Pipilo maculatus,spotted (rufous-side) towhee
Emberizidae,Pooecetes gramineus,vesper sparrow
Emberizidae,Spizella pallida,clay-colored sparrow
Emberizidae,Spizella passerina,chipping sparrow
Emberizidae,Spizella pusilla,field sparrow
Emberizidae,Spizelloides arborea,american tree sparrow
Emberizidae,Unidentified sparrow,Unidentified sparrow
Emberizidae,Zonotrichia albicollis,white-throated sparrow
Emberizidae,Zonotrichia leucophrys,white-crowned sparrow
Falconidae,Falco peregrinus,peregrine falcon
Falconidae,Falco sparverius,american kestrel
Fringillidae,Haemorhous mexicanus,house finch
Fringillidae,Haemorhous purpreus,purple finch
Fringillidae,Spinus tristis,american goldfinch
Hirundinidae,Hirundo rustica,barn swallow
Hirundinidae,Petrochelidon pyrrhonota,cliff swallow
Hirundinidae,Progne subis,purple martin
Hirundinidae,Riparia riparia,bank swallow
Hirundinidae,Stelgidopteryx serripennis,northern rough-winged swallow
Hirundinidae,Tachycineta bicolor,tree swallow
Hirundinidae,Unidentified swallow,Unidentified swallow
Icteridae,Agelaius phoeniceus,red-winged blackbird
Icteridae,Dolichonyx oryzivorus,bobolink
Icteridae,Euphagus carolinus,rusty blackbird
Icteridae,Euphagus cyanocephalus,brewer's blackbird
Icteridae,Icterus galbula,northern oriole
Icteridae,Icterus spurius,orchard oriole
Icteridae,Molothrus ater,brown-headed cowbird
Icteridae,Quiscalus mexicanus,great-tailed grackle
Icteridae,Quiscalus quiscula,common grackle
Icteridae,Sturnella magna,eastern meadowlark
Icteridae,Sturnella neglecta,western meadowlark
Icteridae,Unidentified meadowlark,Unidentified meadowlark
Icteridae,Xanthocephalus xanthocephalus,yellow-headed blackbird
Laniidae,Lanius ludovicianus,loggerhead shrike
Laridae,Chlidonias niger,black tern
Laridae,Larus argentatus,Herring Gull
Laridae,Larus delawarensis,ring-billed gull
Laridae,Sternula antillarum,least tern
Mimidae,Dumetella carolinensis,gray catbird
Mimidae,Mimus polyglottos,northern mockingbird
Mimidae,Toxostoma rufum,brown thrasher
NULL,Unidentified bird,Unidentified bird
Odontophoridae,Colinus virginianus,northern bobwhite
Paridae,Baeolophus bicolor,tufted titmouse
Paridae,Poecile atricapillus,black-capped chickadee
Paridae,Poecile carolinensis,carolina chickadee
Paridae,Unidentified chickadee,Unidentified poecile chickadee
Parulidae,Cardellina canadensis,canada warbler
Parulidae,Cardellina pusilla,wilson's warbler
Parulidae,Geothlypis formosa,kentucky warbler
Parulidae,Geothlypis trichas,common yellowthroat
Parulidae,Helmitheros vermivorum,worm-eating warbler
Parulidae,Icteria virens,yellow-breasted chat
Parulidae,Leiothlypis celata,Orange-crowned Warbler
Parulidae,Leiothlypis peregrina,tennessee warbler
Parulidae,Leiothlypis ruficapilla,nashville warbler
Parulidae,Mniotilta varia,black-and-white warbler
Parulidae,Parkesia motacilla,louisiana waterthrush
Parulidae,Parkesia noveboracensis,northern waterthrush
Parulidae,Protonotaria citrea,prothonotary warbler
Parulidae,Seiurus aurocapilla,ovenbird
Parulidae,Setophaga americana,northern parula
Parulidae,Setophaga caerulescens,black-throated blue warbler
Parulidae,Setophaga castanea,bay-breasted warbler
Parulidae,Setophaga cerulea,cerulean warbler
Parulidae,Setophaga citrina,hooded warbler
Parulidae,Setophaga coronata,yellow-rumped warbler
Parulidae,Setophaga discolor,prairie warbler
Parulidae,Setophaga dominica,yellow-throated warbler
Parulidae,Setophaga fusca,blackburnian warbler
Parulidae,Setophaga magnolia,magnolia warbler
Parulidae,Setophaga palmarum,palm warbler
Parulidae,Setophaga pensylvanica,chestnut-sided warbler
Parulidae,Setophaga petechia,yellow warbler
Parulidae,Setophaga pinus,pine warbler
Parulidae,Setophaga ruticilla,american redstart
Parulidae,Setophaga striata,blackpoll warbler
Parulidae,Setophaga virens,black-throated green warbler
Parulidae,Unidentified warbler,Unidentified warbler
Parulidae,Vermivora chrysoptera,golden-winged warbler
Parulidae,Vermivora cyanoptera,blue-winged warbler
Passeridae,Passer domesticus,house sparrow
Phalacrocoracidae,Phalacrocorax auritus,double-crested cormorant
Phasianidae,Meleagris gallopavo,wild turkey
Phasianidae,Phasianus colchicus,ring-necked pheasant
Phasianidae,Tympanuchus cupido,greater prairie-chicken
Phasianidae,Tympanuchus phasianellus,sharp-tailed grouse
Picidae,Colaptes auratus,northern flicker
Picidae,Dryobates pubescens,downy woodpecker
Picidae,Dryocopus pileatus,pileated woodpecker
Picidae,Leuconotopicus villosus,hairy woodpecker
Picidae,Melanerpes carolinus,red-bellied woodpecker
Picidae,Melanerpes erythrocephalus,red-headed woodpecker
Picidae,Sphyrapicus varius,yellow-bellied sapsucker
Picidae,Unidentified woodpecker,Unidentified woodpecker
Podicipedidae,Podilymbus podiceps,pied-billed grebe
Polioptilidae,Polioptila caerulea,blue-gray gnatcatcher
Rallidae,Fulica americana,american Coot
Rallidae,Gallinula chloropus,common moorhen
Rallidae,Porphyrio martinica,purple gallinule
Rallidae,Porzana carolina,sora
Rallidae,Rallus elegans,king rail
Rallidae,Rallus limicola,virginia rail
Regulidae,Regulus calendula,ruby-crowned kinglet
Regulidae,Regulus satrapa,golden-crowned kinglet
Scolopacidae,Actitis macularius,spotted sandpiper
Scolopacidae,Bartramia longicauda,upland sandpiper
Scolopacidae,Calidris pusilla,semipalmated sandpiper
Scolopacidae,Gallinago gallinago,common snipe
Scolopacidae,Phalaropus lobatus,red-necked phalarope
Scolopacidae,Scolopax minor,american woodcock
Scolopacidae,Tringa solitaria,solitary sandpiper
Scolopacidae,Tryngites subruficollis,buff-breasted sandpiper
Sittidae,Sitta carolinensis,white-breasted nuthatch
Strigidae,Athene cunicularia,burrowing owl
Strigidae,Bubo virginianus,great horned owl
Strigidae,Strix varia,barred owl
Strigidae/tytonidae,Unidentified owl,unidentified owl
Sturnidae,Sturnus vulgaris,european starling
Threskiornithidae,Eudocimus albus,white ibis
Threskiornithidae,Plegadis chihi,white-faced ibis
Trochillidae,Archilochus colubris,ruby-throated hummingbird
Troglodytidae,Cistothorus palustris,marsh wren
Troglodytidae,Cistothorus platensis,sedge wren
Troglodytidae,Salpinctes obsoletus,rock wren
Troglodytidae,Thryomanes bewickii,bewick's wren
Troglodytidae,Thryothorus ludovicianus,carolina wren
Troglodytidae,Troglodytes aedon,house wren
Troglodytidae,Unidentified wren,Unidentified wren
Turdidae,Catharus fuscescens,veery
Turdidae,Catharus guttatus,hermit thrush
Turdidae,Catharus ustulatus,swainson's thrush
Turdidae,Hylocichla mustelina,wood thrush
Turdidae,Sialia sialis,eastern bluebird
Turdidae,Turdus migratorius,american robin
Tyrannidae,Contopus cooperi,olive-sided flycatcher
Tyrannidae,Contopus virens,eastern wood-pewee
Tyrannidae,Empidonax alnorum,Alder Flycatchetr
Tyrannidae,Empidonax difficilis,Western Flycatcher
Tyrannidae,Empidonax flaviventris,yellow-bellied flycatcher
Tyrannidae,Empidonax minimus,least flycatcher
Tyrannidae,Empidonax traillii,willow flycatcher
Tyrannidae,Empidonax virescens,acadian flycatcher
Tyrannidae,Myiarchus crinitus,great crested flycatcher
Tyrannidae,Sayornis phoebe,eastern phoebe
Tyrannidae,Sayornis saya,say's phoebe
Tyrannidae,Tyrannus forficatus,scissor-tailed flycatcher
Tyrannidae,Tyrannus tyrannus,eastern kingbird
Tyrannidae,Tyrannus verticalis,western kingbird
Tyrannidae,Unidentified flycatcher,Unidentified flycatcher
Tytonidae,Tyto alba,barn owl
Vieonidae,Vireo olivaceus,red-eyed vireo
Vireonidae,Unidentified vireo,Unidentified vireo
Vireonidae,Vireo bellii,bell's vireo
Vireonidae,Vireo flavifrons,yellow-throated vireo
Vireonidae,Vireo gilvus,warbling vireo
Vireonidae,Vireo griseus,white-eyed vireo
Vireonidae,Vireo philadelphicus,philadelphia vireo
Vireonidae,Vireo solitarius,Blue-headed Vireo
